Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.004 -0.58336 8.47500 0.0900000036 1.0816895926    0.090 -3.040  3.4386  5.139    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 12.371 13.848 16.377 12.445
0.004 -0.58336 8.47500 0.0952986404 1.1305892711    0.095 -2.988  3.4463  5.142    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 12.239 13.643 16.035 12.262
0.004 -0.58336 8.47500 0.1000000015 1.1711064122    0.100 -2.942  3.4534  5.145    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 12.124 13.461 15.727 12.102
0.004 -0.58336 8.47500 0.1063947231 1.2224067286    0.106 -2.885  3.4610  5.146    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 11.983 13.247 15.371 11.912
0.004 -0.58336 8.47500 0.1115019396 1.2605814763    0.111 -2.837  3.4673  5.143    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 11.862 13.068 15.083 11.755
0.004 -0.58336 8.47500 0.1199999973 1.3193154249    0.120 -2.755  3.4780  5.136    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 11.659 12.766 14.606 11.491
0.004 -0.58336 8.47500 0.1385166198 1.4303960856    0.138 -2.612  3.4936  5.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 11.300 12.267 13.871 11.051
0.004 -0.58336 8.47500 0.1400000006 1.4384526719    0.140 -2.600  3.4948  5.115    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 11.270 12.227 13.815 11.016
0.004 -0.58336 8.47500 0.1599999964 1.5372931554    0.160 -2.471  3.5071  5.094    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.947 11.803 13.239 10.637
0.004 -0.58336 8.47500 0.1999999881 1.6938790356    0.200 -2.273  3.5245  5.062    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.45e-16      0.00 7.398e-01 2.562e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.454 11.179 12.438 10.076
