Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.005 -0.48482 7.60001 0.0900000036 1.0816895926    0.090 -2.399  3.4523  4.553    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.95e-16      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.768 12.136 14.267 10.795
0.005 -0.48482 7.60001 0.0969069228 1.1447367948    0.097 -2.349  3.4582  4.558    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.63e-16      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.641 11.950 13.984 10.628
0.005 -0.48482 7.60001 0.1000000015 1.1711064122    0.100 -2.327  3.4609  4.560    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.93e-16      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.588 11.870 13.862 10.557
0.005 -0.48482 7.60001 0.1012436226 1.1814116095    0.101 -2.319  3.4617  4.561    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.568 11.842 13.821 10.531
0.005 -0.48482 7.60001 0.1156832427 1.2901813390    0.116 -2.229  3.4716  4.569    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.15e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.344 11.523 13.359 10.245
0.005 -0.48482 7.60001 0.1199999973 1.3193154249    0.120 -2.205  3.4745  4.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.283 11.435 13.231 10.167
0.005 -0.48482 7.60001 0.1204265803 1.3221203789    0.120 -2.203  3.4748  4.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.277 11.427 13.219 10.159
0.005 -0.48482 7.60001 0.1400000006 1.4384526719    0.140 -2.102  3.4851  4.578    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.026 11.080 12.730 9.848
0.005 -0.48482 7.60001 0.1594455093 1.5347733035    0.159 -2.017  3.4936  4.584    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.813 10.792 12.336 9.590
0.005 -0.48482 7.60001 0.1599999964 1.5372931554    0.160 -2.015  3.4938  4.584    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.807 10.785 12.326 9.583
0.005 -0.48482 7.60001 0.1999999881 1.6938790356    0.200 -1.869  3.5081  4.592    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.442 10.308 11.702 9.153
0.005 -0.48482 7.60001 0.2458991557 1.8298043540    0.246 -1.736  3.5208  4.600    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.110 9.884 11.163 8.770
0.005 -0.48482 7.60001 0.2500000000 1.8403257998    0.250 -1.726  3.5218  4.601    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.084 9.851 11.123 8.740
0.005 -0.48482 7.60001 0.2595812976 1.8640571285    0.260 -1.702  3.5239  4.602    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.025 9.779 11.034 8.674
0.005 -0.48482 7.60001 0.3259603977 2.0021600360    0.326 -1.556  3.5369  4.606    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.659 9.331 10.491 8.265
0.005 -0.48482 7.60001 0.3479009271 2.0399636812    0.348 -1.514  3.5406  4.608    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.554 9.204 10.339 8.149
0.005 -0.48482 7.60001 0.3499999642 2.0434174156    0.350 -1.510  3.5409  4.608    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.28e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.545 9.192 10.325 8.138
0.005 -0.48482 7.60001 0.3856199980 2.0982137466    0.386 -1.439  3.5471  4.604    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.71e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.368 8.980 10.073 7.944
0.005 -0.48482 7.60001 0.3999999762 2.1185023988    0.400 -1.414  3.5494  4.604    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.86e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.306 8.904 9.982 7.874
0.005 -0.48482 7.60001 0.4279661179 2.1553714533    0.428 -1.358  3.5549  4.599    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.27e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.166 8.734 9.779 7.720
0.005 -0.48482 7.60001 0.4499999881 2.1822809009    0.450 -1.318  3.5587  4.596    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.066 8.612 9.634 7.609
0.005 -0.48482 7.60001 0.4999999404 2.2374540715    0.500 -1.213  3.5704  4.583    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.63e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 7.802 8.284 9.240 7.316
0.005 -0.48482 7.60001 0.5182248950 2.2554842985    0.518 -1.174  3.5757  4.581    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.05e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 7.705 8.163 9.094 7.208
0.005 -0.48482 7.60001 0.5500000119 2.2836582633    0.550 -1.095  3.5864  4.571    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-15      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 7.507 7.915 8.796 6.988
0.005 -0.48482 7.60001 0.5500557423 2.2837043989    0.550 -1.095  3.5865  4.571    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-15      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 7.507 7.915 8.795 6.988
0.005 -0.48482 7.60001 0.5631129146 2.2942248219    0.563 -1.056  3.5924  4.566    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-15      0.00 7.372e-01 2.577e-01 9.172e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 7.410 7.792 8.647 6.881
0.005 -0.48482 7.60001 0.5948386192 2.3175881474    0.595 -0.950  3.6103  4.556    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.64e-15      0.00 7.372e-01 2.577e-01 9.172e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 7.146 7.460 8.243 6.592
0.005 -0.48482 7.60001 0.5999999642 2.3211212854    0.600 -0.931  3.6139  4.554    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-14      0.00 7.372e-01 2.577e-01 9.172e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 7.097 7.399 8.167 6.539
0.005 -0.48482 7.60001 0.6181408167 2.3330028611    0.618 -0.860  3.6280  4.553    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-14      0.00 7.372e-01 2.577e-01 9.172e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 6.919 7.169 7.881 6.346
0.005 -0.48482 7.60001 0.6410001516 2.3468791198    0.641 -0.764  3.6484  4.554    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-14      0.00 7.372e-01 2.577e-01 9.172e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 6.680 6.845 7.469 6.083
