Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.007 -0.33541 8.00000 0.0900000036 1.0816895926    0.090 -2.705  3.4362  4.794    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.36e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.532 13.133 15.586 11.733
0.007 -0.33541 8.00000 0.0904873088 1.0863413890    0.090 -2.701  3.4367  4.794    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.37e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.523 13.119 15.564 11.720
0.007 -0.33541 8.00000 0.0975762606 1.1505350854    0.098 -2.647  3.4434  4.800    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.65e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.388 12.911 15.245 11.530
0.007 -0.33541 8.00000 0.0996483564 1.1681622722    0.100 -2.631  3.4454  4.801    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.74e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.349 12.850 15.152 11.475
0.007 -0.33541 8.00000 0.1078680009 1.2336595908    0.108 -2.575  3.4523  4.807    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.07e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.208 12.635 14.825 11.281
0.007 -0.33541 8.00000 0.1186188385 1.3101440708    0.118 -2.506  3.4612  4.814    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.52e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.034 12.366 14.407 11.041
0.007 -0.33541 8.00000 0.1189450845 1.3123229328    0.119 -2.504  3.4614  4.814    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.53e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.029 12.358 14.396 11.034
0.007 -0.33541 8.00000 0.1220598221 1.3327413791    0.122 -2.486  3.4635  4.816    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.65e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.985 12.292 14.299 10.976
0.007 -0.33541 8.00000 0.1382417977 1.4288911444    0.138 -2.397  3.4741  4.824    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.31e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.764 11.966 13.816 10.684
0.007 -0.33541 8.00000 0.1570621729 1.5238111263    0.157 -2.308  3.4839  4.830    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.07e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.541 11.647 13.359 10.399
0.007 -0.33541 8.00000 0.1575385332 1.5260193710    0.157 -2.306  3.4842  4.830    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.09e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.536 11.640 13.347 10.392
