Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.007 -0.33541 8.79500 0.0900000036 1.0816895926    0.090 -3.270  3.4010  5.218    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.59e-17      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 12.945 14.774 17.748 13.300
0.007 -0.33541 8.79500 0.0970914140 1.1463401781    0.097 -3.158  3.4178  5.206    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.05e-17      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 12.666 14.478 17.416 13.009
0.007 -0.33541 8.79500 0.0996483564 1.1681622722    0.100 -3.113  3.4243  5.199    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.79e-17      0.00 7.317e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 12.553 14.301 17.116 12.848
0.007 -0.33541 8.79500 0.1189450845 1.3123229328    0.119 -2.888  3.4524  5.162    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-16      0.00 7.316e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.989 13.427 15.714 12.058
0.007 -0.33541 8.79500 0.1382417977 1.4288911444    0.138 -2.711  3.4712  5.126    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-16      0.00 7.316e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.548 12.788 14.744 11.484
0.007 -0.33541 8.79500 0.1575385332 1.5260193710    0.157 -2.579  3.4844  5.104    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-16      0.00 7.315e-01 2.614e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.218 12.325 14.072 11.070
0.007 -0.33541 8.79500 0.1641713232 1.5558926785    0.164 -2.543  3.4878  5.098    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.53e-16      0.00 7.315e-01 2.614e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.127 12.200 13.895 10.957
0.007 -0.33541 8.79500 0.1961319745 1.6805893256    0.196 -2.371  3.5023  5.062    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.56e-16      0.00 7.315e-01 2.614e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.698 11.641 13.149 10.452
0.007 -0.33541 8.79500 0.2200024128 1.7576386156    0.219 -2.269  3.5102  5.041    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-16      0.00 7.314e-01 2.615e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.443 11.320 12.738 10.158
0.007 -0.33541 8.79500 0.2443737835 1.8258323712    0.244 -2.175  3.5174  5.022    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.25e-16      0.00 7.314e-01 2.616e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.208 11.028 12.372 9.892
0.007 -0.33541 8.79500 0.3005540669 1.9540222173    0.300 -1.994  3.5295  4.979    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.54e-16      0.00 7.314e-01 2.615e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.755 10.490 11.729 9.393
