Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.007 -0.33541 8.50001 0.0900000036 1.0816895926    0.090 -3.088  3.4172  5.101    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.74e-17      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 12.489 14.304 17.204 12.838
0.007 -0.33541 8.50001 0.0959543362 1.1363944152    0.096 -3.025  3.4269  5.105    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 12.332 14.046 16.767 12.606
0.007 -0.33541 8.50001 0.0996483564 1.1681622722    0.100 -2.985  3.4334  5.107    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 12.232 13.872 16.468 12.451
0.007 -0.33541 8.50001 0.1070126444 1.2271509125    0.107 -2.924  3.4414  5.109    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 12.080 13.632 16.090 12.234
0.007 -0.33541 8.50001 0.1114729345 1.2603711272    0.111 -2.887  3.4464  5.110    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.988 13.487 15.859 12.103
0.007 -0.33541 8.50001 0.1178095713 1.3047055146    0.118 -2.833  3.4537  5.108    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.852 13.273 15.517 11.912
0.007 -0.33541 8.50001 0.1189450845 1.3123229328    0.119 -2.822  3.4550  5.107    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.826 13.232 15.452 11.876
0.007 -0.33541 8.50001 0.1382417977 1.4288911444    0.138 -2.675  3.4720  5.093    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-16      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.458 12.688 14.622 11.389
0.007 -0.33541 8.50001 0.1428595036 1.4536745906    0.143 -2.643  3.4752  5.088    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-16      0.00 7.317e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.379 12.578 14.463 11.290
0.007 -0.33541 8.50001 0.1575385332 1.5260193710    0.157 -2.542  3.4847  5.068    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-16      0.00 7.317e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 11.125 12.228 13.963 10.976
0.007 -0.33541 8.50001 0.1749783754 1.6013513739    0.175 -2.453  3.4930  5.057    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-16      0.00 7.317e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.902 11.925 13.542 10.703
0.007 -0.33541 8.50001 0.1961319745 1.6805893256    0.196 -2.350  3.5021  5.041    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.86e-16      0.00 7.316e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.646 11.590 13.096 10.400
0.007 -0.33541 8.50001 0.2443737835 1.8258323712    0.244 -2.159  3.5170  5.004    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.6e-16      0.00 7.316e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 10.167 10.990 12.335 9.853
0.007 -0.33541 8.50001 0.2926155925 1.9378845064    0.292 -2.016  3.5280  4.983    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.27e-16      0.00 7.316e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.810 10.555 11.806 9.453
0.007 -0.33541 8.50001 0.3408574164 2.0281734154    0.340 -1.876  3.5382  4.951    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.64e-16      0.00 7.317e-01 2.613e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.460 10.141 11.317 9.069
0.007 -0.33541 8.50001 0.3890992403 2.1032117912    0.388 -1.727  3.5491  4.903    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.088 9.704 10.807 8.664
0.007 -0.33541 8.50001 0.4114520550 2.1339935772    0.411 -1.655  3.5550  4.879    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.908 9.491 10.556 8.468
0.007 -0.33541 8.50001 0.4373410344 2.1670360615    0.437 -1.574  3.5616  4.850    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.704 9.249 10.274 8.246
0.007 -0.33541 8.50001 0.4855828285 2.2223072234    0.485 -1.412  3.5775  4.798    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.301 8.762 9.701 7.803
0.007 -0.33541 8.50001 0.5338246226 2.2697980445    0.533 -1.248  3.5974  4.754    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.09e-15      0.00 7.322e-01 2.607e-01 1.269e-03 3.424e-04 3.105e-03 -1.000 7.069e-03 7.890 8.260 9.109 7.352
0.007 -0.33541 8.50001 0.5820664167 2.3085344924    0.581 -1.083  3.6213  4.723    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.92e-15      0.00 7.326e-01 2.604e-01 1.268e-03 3.421e-04 3.102e-03 -1.000 7.064e-03 7.478 7.754 8.507 6.906
0.007 -0.33541 8.50001 0.6303082108 2.3405328719    0.630 -0.925  3.6475  4.704    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.37e-15      0.00 7.327e-01 2.603e-01 1.268e-03 3.420e-04 3.102e-03 -1.000 7.027e-03 7.082 7.253 7.897 6.477
0.007 -0.33541 8.50001 0.6628890634 2.3591400700    0.662 -0.819  3.6649  4.690    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.329e-01 2.601e-01 1.267e-03 3.418e-04 3.100e-03 -1.000 7.006e-03 6.817 6.918 7.492 6.194
0.007 -0.33541 8.50001 0.6785501242 2.3673564686    0.678 -0.771  3.6735  4.686    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-14      0.00 7.328e-01 2.601e-01 1.267e-03 3.418e-04 3.100e-03 -1.000 7.014e-03 6.697 6.766 7.311 6.066
0.007 -0.33541 8.50001 0.7267918587 2.3901268728    0.726 -0.630  3.6982  4.674    0  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-14      0.00 7.330e-01 2.600e-01 1.256e-03 3.414e-04 3.099e-03 -1.000 7.055e-03 6.345 6.338 6.809 5.701
0.007 -0.33541 8.50001 0.7755740285 2.4098717853    0.775 -0.498  3.7201  4.657    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-14      0.00 7.332e-01 2.598e-01 1.248e-03 3.410e-04 3.097e-03 -1.000 7.038e-03 6.014 5.960 6.375 5.373
