Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.004 -0.58336 7.78001 0.0900000036 1.0816895926    0.090 -2.518  3.4611  4.706    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.71e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 11.064 12.319 14.338 11.003
0.004 -0.58336 7.78001 0.0961655006 1.1382529715    0.096 -2.470  3.4668  4.710    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.13e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.946 12.148 14.078 10.851
0.004 -0.58336 7.78001 0.1000000015 1.1711064122    0.100 -2.441  3.4705  4.713    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.42e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.873 12.041 13.915 10.756
0.004 -0.58336 7.78001 0.1050722152 1.2121315298    0.105 -2.409  3.4742  4.717    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.71e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.792 11.926 13.745 10.654
0.004 -0.58336 7.78001 0.1156910583 1.2902353590    0.116 -2.342  3.4818  4.722    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.41e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.625 11.688 13.395 10.443
0.004 -0.58336 7.78001 0.1199999973 1.3193154249    0.120 -2.317  3.4849  4.725    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.68e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.561 11.596 13.257 10.362
0.004 -0.58336 7.78001 0.1214376613 1.3287173610    0.121 -2.309  3.4858  4.726    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.77e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.542 11.568 13.218 10.338
0.004 -0.58336 7.78001 0.1400000006 1.4384526719    0.140 -2.211  3.4959  4.730    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.02e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.297 11.237 12.757 10.043
0.004 -0.58336 7.78001 0.1561128050 1.5193841003    0.156 -2.139  3.5033  4.735    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.117 10.997 12.437 9.829
0.004 -0.58336 7.78001 0.1599999964 1.5372931554    0.160 -2.122  3.5050  4.736    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.075 10.943 12.364 9.780
0.004 -0.58336 7.78001 0.1920344979 1.6661343988    0.192 -2.000  3.5174  4.743    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.770 10.546 11.847 9.425
0.004 -0.58336 7.78001 0.1999999881 1.6938790356    0.200 -1.972  3.5201  4.744    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.701 10.457 11.732 9.345
0.004 -0.58336 7.78001 0.2500000000 1.8403257998    0.250 -1.830  3.5329  4.750    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.345 10.019 11.196 8.946
0.004 -0.58336 7.78001 0.3000000119 1.9529139769    0.300 -1.710  3.5428  4.748    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.044 9.659 10.767 8.615
0.004 -0.58336 7.78001 0.3480640054 2.0402329782    0.348 -1.603  3.5515  4.741    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.779 9.343 10.397 8.325
0.004 -0.58336 7.78001 0.3499999642 2.0434174156    0.350 -1.599  3.5518  4.741    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.769 9.332 10.383 8.315
0.004 -0.58336 7.78001 0.3527189493 2.0478513846    0.353 -1.593  3.5524  4.740    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.752 9.312 10.360 8.297
0.004 -0.58336 7.78001 0.3999999762 2.1185023988    0.400 -1.486  3.5619  4.725    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.85e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.485 8.993 9.986 8.005
0.004 -0.58336 7.78001 0.4499999881 2.1822809009    0.450 -1.356  3.5746  4.697    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.72e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.160 8.605 9.531 7.653
0.004 -0.58336 7.78001 0.4999999702 2.2374541023    0.500 -1.207  3.5943  4.673    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.1e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.787 8.146 8.984 7.244
0.004 -0.58336 7.78001 0.5500000119 2.2836582633    0.550 -1.000  3.6305  4.652    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.98e-15      0.00 7.400e-01 2.560e-01 7.191e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.271 7.501 8.196 6.688
0.004 -0.58336 7.78001 0.5600402951 2.2917998770    0.560 -0.955  3.6402  4.654    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.77e-15      0.00 7.400e-01 2.560e-01 7.191e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.158 7.352 8.007 6.566
0.004 -0.58336 7.78001 0.5812961459 2.3079738348    0.581 -0.866  3.6602  4.661    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 7.400e-01 2.560e-01 7.191e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.936 7.050 7.624 6.325
0.004 -0.58336 7.78001 0.5900905728 2.3142750823    0.590 -0.836  3.6671  4.665    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-14      0.00 7.400e-01 2.560e-01 7.191e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.861 6.952 7.502 6.245
