Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.0045 -0.53140 7.04001 0.0900000036 1.0816895926    0.090 -1.994  3.4506  4.141    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.65e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 9.756 11.123 13.204 9.790
0.0045 -0.53140 7.04001 0.0925284326 1.1054777792    0.093 -1.978  3.4526  4.145    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 9.715 11.062 13.113 9.735
0.0045 -0.53140 7.04001 0.1000000089 1.1711064744    0.100 -1.930  3.4581  4.152    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.97e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 9.595 10.886 12.853 9.577
0.0045 -0.53140 7.04001 0.1082925349 1.2368651426    0.108 -1.882  3.4634  4.160    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.22e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 9.475 10.717 12.609 9.424
0.0045 -0.53140 7.04001 0.1199999973 1.3193154249    0.120 -1.820  3.4702  4.169    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 9.319 10.498 12.300 9.226
0.0045 -0.53140 7.04001 0.1239119992 1.3445647834    0.124 -1.800  3.4722  4.172    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.7e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 9.270 10.431 12.207 9.165
0.0045 -0.53140 7.04001 0.1400000006 1.4384526719    0.140 -1.724  3.4800  4.180    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.21e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 9.081 10.173 11.851 8.931
0.0045 -0.53140 7.04001 0.1543120295 1.5108899059    0.154 -1.665  3.4861  4.187    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 8.932 9.972 11.578 8.750
0.0045 -0.53140 7.04001 0.1700270027 1.5809905520    0.170 -1.605  3.4920  4.194    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.09e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 8.783 9.772 11.310 8.570
0.0045 -0.53140 7.04001 0.1817007661 1.6278265181    0.182 -1.563  3.4960  4.196    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.5e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 8.678 9.637 11.135 8.447
0.0045 -0.53140 7.04001 0.1974297911 1.6850860642    0.197 -1.513  3.5009  4.202    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.96e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 8.553 9.474 10.923 8.300
0.0045 -0.53140 7.04001 0.2152669579 1.7432439855    0.215 -1.459  3.5063  4.207    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.51e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 8.417 9.299 10.697 8.142
0.0045 -0.53140 7.04001 0.2348392308 1.8002525472    0.235 -1.404  3.5119  4.212    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.11e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 8.280 9.121 10.468 7.981
0.0045 -0.53140 7.04001 0.2500000000 1.8403257998    0.250 -1.365  3.5161  4.218    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.53e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 8.184 8.996 10.307 7.869
0.0045 -0.53140 7.04001 0.2770618498 1.9045512849    0.277 -1.301  3.5223  4.223    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.35e-15      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 8.023 8.794 10.054 7.686
0.0045 -0.53140 7.04001 0.3000000119 1.9529139769    0.300 -1.252  3.5271  4.227    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.899 8.639 9.862 7.546
0.0045 -0.53140 7.04001 0.3222260773 1.9953959748    0.322 -1.209  3.5314  4.233    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.793 8.505 9.696 7.425
0.0045 -0.53140 7.04001 0.3499999642 2.0434174156    0.350 -1.158  3.5365  4.238    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.665 8.347 9.502 7.282
0.0045 -0.53140 7.04001 0.3721564412 2.0783059393    0.372 -1.121  3.5404  4.244    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.573 8.231 9.360 7.178
0.0045 -0.53140 7.04001 0.3999999762 2.1185023988    0.400 -1.077  3.5450  4.249    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.463 8.094 9.193 7.054
0.0045 -0.53140 7.04001 0.4281673133 2.1556252658    0.428 -1.035  3.5498  4.256    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.358 7.961 9.029 6.935
0.0045 -0.53140 7.04001 0.4499999881 2.1822809009    0.450 -1.004  3.5533  4.260    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.280 7.864 8.911 6.849
0.0045 -0.53140 7.04001 0.4719153345 2.2073980907    0.472 -0.974  3.5572  4.267    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.206 7.768 8.791 6.764
0.0045 -0.53140 7.04001 0.4999999404 2.2374540715    0.500 -0.937  3.5620  4.274    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.112 7.647 8.643 6.657
0.0045 -0.53140 7.04001 0.5087404847 2.2462866343    0.509 -0.926  3.5637  4.277    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-14      0.00 7.384e-01 2.570e-01 8.238e-04 2.222e-04 2.016e-03 -1.000 4.581e-03 7.085 7.611 8.598 6.627
