Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.008 -0.27576 7.63001 0.0900000036 1.0816895926    0.090 -2.444  3.4328  4.520    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.39e-16      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.880 12.551 14.991 11.146
0.008 -0.27576 7.63001 0.0965856761 1.1419354001    0.097 -2.396  3.4384  4.524    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -9e-16      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.759 12.366 14.718 10.977
0.008 -0.27576 7.63001 0.1000000015 1.1711064122    0.100 -2.372  3.4412  4.526    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.33e-16      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.699 12.274 14.582 10.893
0.008 -0.27576 7.63001 0.1028784811 1.1947111228    0.103 -2.353  3.4434  4.529    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.56e-16      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.653 12.205 14.480 10.830
0.008 -0.27576 7.63001 0.1166693866 1.2969601116    0.117 -2.269  3.4531  4.538    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.443 11.885 14.010 10.540
0.008 -0.27576 7.63001 0.1200000048 1.3193154741    0.120 -2.250  3.4553  4.540    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.395 11.812 13.901 10.475
0.008 -0.27576 7.63001 0.1300001442 1.3818657139    0.130 -2.197  3.4612  4.545    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.263 11.616 13.613 10.297
0.008 -0.27576 7.63001 0.1400000006 1.4384526719    0.140 -2.147  3.4667  4.550    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.138 11.435 13.356 10.134
0.008 -0.27576 7.63001 0.1475508064 1.4778087976    0.147 -2.113  3.4703  4.553    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.052 11.312 13.183 10.023
0.008 -0.27576 7.63001 0.1599999964 1.5372931554    0.160 -2.059  3.4758  4.556    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 9.917 11.122 12.918 9.850
0.008 -0.27576 7.63001 0.2000000030 1.6938790862    0.200 -1.913  3.4904  4.566    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 9.553 10.615 12.220 9.394
0.008 -0.27576 7.63001 0.2401135415 1.8145660382    0.240 -1.797  3.5013  4.573    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 9.263 10.235 11.728 9.048
0.008 -0.27576 7.63001 0.2500000000 1.8403257998    0.250 -1.771  3.5037  4.574    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 9.198 10.152 11.621 8.971
0.008 -0.27576 7.63001 0.2810487151 1.9133234140    0.281 -1.696  3.5112  4.579    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 9.010 9.906 11.306 8.749
0.008 -0.27576 7.63001 0.3283310831 2.0064020572    0.328 -1.595  3.5208  4.584    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 8.757 9.583 10.898 8.455
0.008 -0.27576 7.63001 0.3356435597 2.0192399139    0.336 -1.581  3.5222  4.585    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 8.722 9.539 10.843 8.415
0.008 -0.27576 7.63001 0.3500000238 2.0434175133    0.350 -1.553  3.5247  4.586    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 8.652 9.452 10.737 8.336
0.008 -0.27576 7.63001 0.4000000358 2.1185024810    0.400 -1.458  3.5334  4.584    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 8.415 9.158 10.378 8.067
0.008 -0.27576 7.63001 0.4431926012 2.1741532867    0.443 -1.377  3.5411  4.578    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 8.213 8.908 10.074 7.839
0.008 -0.27576 7.63001 0.4500000179 2.1822809362    0.450 -1.365  3.5422  4.577    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.2e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 8.183 8.871 10.031 7.806
0.008 -0.27576 7.63001 0.5000000000 2.2374541529    0.500 -1.274  3.5524  4.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.95e-15      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 7.955 8.582 9.674 7.545
