Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.005 -0.48482 7.00001 0.0900000036 1.0816895926    0.090 -1.974  3.4447  4.097    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.02e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.705 11.146 13.308 9.796
0.005 -0.48482 7.00001 0.1000000015 1.1711064122    0.100 -1.910  3.4525  4.110    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.545 10.908 12.957 9.581
0.005 -0.48482 7.00001 0.1199999973 1.3193154249    0.120 -1.799  3.4647  4.127    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.268 10.511 12.386 9.222
0.005 -0.48482 7.00001 0.1294896752 1.3788261408    0.129 -1.753  3.4697  4.134    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.153 10.350 12.159 9.075
0.005 -0.48482 7.00001 0.1423418671 1.4509485817    0.142 -1.696  3.4758  4.142    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.77e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.009 10.152 11.886 8.895
0.005 -0.48482 7.00001 0.1553893238 1.5159868479    0.155 -1.642  3.4813  4.148    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.18e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.874 9.968 11.636 8.728
0.005 -0.48482 7.00001 0.1609197259 1.5414479090    0.161 -1.621  3.4835  4.151    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.32e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.822 9.897 11.538 8.664
0.005 -0.48482 7.00001 0.1719728857 1.5890831639    0.172 -1.578  3.4876  4.154    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.78e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.716 9.756 11.350 8.537
0.005 -0.48482 7.00001 0.1868661493 1.6473192421    0.187 -1.527  3.4927  4.160    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.27e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.588 9.586 11.125 8.384
0.005 -0.48482 7.00001 0.2032146603 1.7046722794    0.203 -1.476  3.4980  4.166    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.78e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.461 9.418 10.905 8.232
