Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.0055 -0.44261 8.14500 0.0900000036 1.0816895926    0.090 -2.803  3.4417  4.915    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 11.779 13.276 15.670 11.889
0.0055 -0.44261 8.14500 0.0939144492 1.1181621689    0.094 -2.773  3.4458  4.919    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 11.702 13.157 15.483 11.782
0.0055 -0.44261 8.14500 0.1000000015 1.1711064122    0.100 -2.725  3.4523  4.924    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.61e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 11.583 12.972 15.188 11.617
0.0055 -0.44261 8.14500 0.1030551270 1.1961316738    0.103 -2.704  3.4551  4.927    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.69e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 11.529 12.889 15.055 11.543
0.0055 -0.44261 8.14500 0.1128924489 1.2705829811    0.113 -2.634  3.4643  4.934    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -3e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 11.355 12.623 14.636 11.307
0.0055 -0.44261 8.14500 0.1199999973 1.3193154249    0.120 -2.586  3.4710  4.939    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 11.235 12.438 14.346 11.144
0.0055 -0.44261 8.14500 0.1231329441 1.3396198520    0.123 -2.568  3.4732  4.941    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.32e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 11.189 12.371 14.247 11.085
0.0055 -0.44261 8.14500 0.1400000006 1.4384526719    0.140 -2.473  3.4846  4.947    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.85e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 10.952 12.024 13.729 10.779
0.0055 -0.44261 8.14500 0.1599999964 1.5372931554    0.160 -2.375  3.4953  4.950    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.49e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 10.707 11.683 13.247 10.476
0.0055 -0.44261 8.14500 0.1945849806 1.6751784224    0.195 -2.232  3.5094  4.949    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-16      0.00 7.360e-01 2.585e-01 1.002e-03 2.703e-04 2.451e-03 -1.000 5.571e-03 10.350 11.210 12.615 10.052
