Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.0065 -0.36842 7.36000 0.0900000036 1.0816895926    0.090 -2.244  3.4392  4.345    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.63e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.379 11.923 14.216 10.547
0.0065 -0.36842 7.36000 0.0955198035 1.1325531065    0.095 -2.206  3.4436  4.350    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.285 11.781 14.008 10.418
0.0065 -0.36842 7.36000 0.0994532034 1.1665225238    0.099 -2.179  3.4467  4.353    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.218 11.682 13.864 10.328
0.0065 -0.36842 7.36000 0.1115662605 1.2610476863    0.111 -2.106  3.4549  4.362    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.035 11.412 13.469 10.083
0.0065 -0.36842 7.36000 0.1183596253 1.3084073322    0.118 -2.068  3.4591  4.367    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.940 11.272 13.262 9.955
0.0065 -0.36842 7.36000 0.1372660398 1.4235162573    0.137 -1.972  3.4692  4.375    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.700 10.934 12.785 9.648
0.0065 -0.36842 7.36000 0.1561724544 1.5196632823    0.156 -1.889  3.4776  4.383    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.493 10.648 12.391 9.389
0.0065 -0.36842 7.36000 0.1822439730 1.6299101377    0.182 -1.791  3.4873  4.390    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.248 10.314 11.937 9.087
0.0065 -0.36842 7.36000 0.2087433189 1.7227252505    0.208 -1.704  3.4957  4.395    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.030 10.025 11.557 8.825
0.0065 -0.36842 7.36000 0.2209859788 1.7605779434    0.220 -1.667  3.4992  4.396    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.69e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 8.937 9.905 11.401 8.715
