Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.0065 -0.36842 7.75001 0.0900000036 1.0816895926    0.090 -2.520  3.4411  4.629    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.21e-16      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 11.069 12.595 14.921 11.216
0.0065 -0.36842 7.75001 0.0961738750 1.1383265696    0.096 -2.474  3.4466  4.633    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.65e-16      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.955 12.423 14.664 11.060
0.0065 -0.36842 7.75001 0.0994532034 1.1665225238    0.099 -2.450  3.4495  4.635    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.89e-16      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.895 12.333 14.528 10.978
0.0065 -0.36842 7.75001 0.1069744378 1.2268586097    0.107 -2.401  3.4552  4.641    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.39e-16      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.773 12.150 14.252 10.813
0.0065 -0.36842 7.75001 0.1183067784 1.3080526485    0.118 -2.331  3.4635  4.647    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.19e-16      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.597 11.889 13.860 10.579
0.0065 -0.36842 7.75001 0.1183596253 1.3084073322    0.118 -2.331  3.4635  4.647    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.2e-16      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.597 11.887 13.859 10.578
0.0065 -0.36842 7.75001 0.1200696230 1.3197741261    0.120 -2.321  3.4646  4.648    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.31e-16      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.573 11.853 13.809 10.547
0.0065 -0.36842 7.75001 0.1372660398 1.4235162573    0.137 -2.230  3.4748  4.656    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-16      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.345 11.526 13.338 10.253
0.0065 -0.36842 7.75001 0.1538633406 1.5087533849    0.154 -2.154  3.4828  4.662    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.155 11.259 12.962 10.013
0.0065 -0.36842 7.75001 0.1561724544 1.5196632823    0.156 -2.144  3.4839  4.662    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 10.130 11.224 12.912 9.982
0.0065 -0.36842 7.75001 0.1697996855 1.5800373249    0.169 -2.090  3.4893  4.666    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.994 11.037 12.653 9.814
0.0065 -0.36842 7.75001 0.1939852685 1.6730657523    0.193 -2.003  3.4979  4.671    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.776 10.747 12.267 9.552
0.0065 -0.36842 7.75001 0.2412513196 1.8176002146    0.240 -1.860  3.5119  4.678    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.420 10.281 11.662 9.131
0.0065 -0.36842 7.75001 0.2461024225 1.8303312303    0.245 -1.847  3.5131  4.679    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.387 10.240 11.608 9.093
0.0065 -0.36842 7.75001 0.2885173559 1.9293289480    0.288 -1.742  3.5228  4.682    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 9.125 9.908 11.190 8.792
0.0065 -0.36842 7.75001 0.3291496933 2.0078576109    0.328 -1.653  3.5308  4.682    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 8.902 9.632 10.854 8.541
0.0065 -0.36842 7.75001 0.3357833922 2.0194818543    0.335 -1.639  3.5320  4.682    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-15      0.00 7.332e-01 2.602e-01 1.179e-03 3.181e-04 2.885e-03 -1.000 6.556e-03 8.868 9.591 10.804 8.503
