Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.004 -0.58336 7.64001 0.0900000036 1.0816895926    0.090 -2.415  3.4619  4.607    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.1e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.808 12.054 14.039 10.744
0.004 -0.58336 7.64001 0.0906528831 1.0879145473    0.091 -2.411  3.4625  4.608    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.15e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.796 12.037 14.013 10.729
0.004 -0.58336 7.64001 0.0974166691 1.1491572926    0.097 -2.360  3.4684  4.612    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.79e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.670 11.856 13.743 10.567
0.004 -0.58336 7.64001 0.1000000015 1.1711064122    0.100 -2.341  3.4707  4.614    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.04e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.623 11.788 13.641 10.507
0.004 -0.58336 7.64001 0.1043905392 1.2067693651    0.104 -2.314  3.4738  4.618    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.38e-16      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.555 11.691 13.500 10.421
0.004 -0.58336 7.64001 0.1157490686 1.2906361639    0.116 -2.244  3.4814  4.623    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.380 11.446 13.145 10.202
0.004 -0.58336 7.64001 0.1199999973 1.3193154249    0.120 -2.220  3.4842  4.626    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.319 11.359 13.017 10.126
0.004 -0.58336 7.64001 0.1228462458 1.3377898299    0.123 -2.205  3.4858  4.627    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.281 11.306 12.942 10.079
0.004 -0.58336 7.64001 0.1400000006 1.4384526719    0.140 -2.117  3.4945  4.631    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 10.062 11.012 12.537 9.816
0.004 -0.58336 7.64001 0.1599625200 1.5371232027    0.160 -2.030  3.5032  4.637    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.845 10.726 12.158 9.559
0.004 -0.58336 7.64001 0.1599999964 1.5372931554    0.160 -2.030  3.5032  4.637    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.844 10.725 12.157 9.558
0.004 -0.58336 7.64001 0.1999999881 1.6938790356    0.200 -1.881  3.5180  4.644    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.472 10.244 11.534 9.127
0.004 -0.58336 7.64001 0.2500000000 1.8403257998    0.250 -1.741  3.5307  4.652    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.124 9.812 11.002 8.734
0.004 -0.58336 7.64001 0.2510576248 1.8430029784    0.251 -1.739  3.5310  4.652    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 9.117 9.804 10.992 8.726
0.004 -0.58336 7.64001 0.3000000119 1.9529139769    0.300 -1.624  3.5406  4.653    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.6e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.829 9.459 10.580 8.410
0.004 -0.58336 7.64001 0.3276704550 2.0052239640    0.328 -1.565  3.5455  4.653    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.85e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.682 9.284 10.373 8.249
0.004 -0.58336 7.64001 0.3499999642 2.0434174156    0.350 -1.521  3.5492  4.652    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.572 9.152 10.218 8.128
0.004 -0.58336 7.64001 0.3859835863 2.0987387912    0.386 -1.448  3.5557  4.647    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.390 8.935 9.962 7.929
0.004 -0.58336 7.64001 0.3999999762 2.1185023988    0.400 -1.423  3.5580  4.647    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.6e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.327 8.859 9.873 7.861
0.004 -0.58336 7.64001 0.4096769094 2.1316292971    0.410 -1.402  3.5602  4.645    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.74e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.274 8.794 9.794 7.801
0.004 -0.58336 7.64001 0.4499999881 2.1822809009    0.450 -1.317  3.5685  4.634    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.37e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 8.063 8.539 9.494 7.570
0.004 -0.58336 7.64001 0.4999999702 2.2374541023    0.500 -1.200  3.5821  4.617    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.58e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.769 8.182 9.073 7.249
0.004 -0.58336 7.64001 0.5240108371 2.2609076532    0.524 -1.136  3.5910  4.609    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.32e-15      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.611 7.986 8.837 7.075
0.004 -0.58336 7.64001 0.5487845540 2.2826493811    0.548 -1.054  3.6033  4.596    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.56e-15      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.404 7.733 8.535 6.852
0.004 -0.58336 7.64001 0.5500000119 2.2836582633    0.550 -1.050  3.6040  4.596    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.63e-15      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.394 7.721 8.520 6.841
0.004 -0.58336 7.64001 0.5554161072 2.2880921936    0.555 -1.031  3.6073  4.594    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.94e-15      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.347 7.662 8.448 6.791
0.004 -0.58336 7.64001 0.5778355598 2.3054337522    0.578 -0.942  3.6236  4.588    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.59e-15      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.125 7.384 8.105 6.553
0.004 -0.58336 7.64001 0.5999999642 2.3211212854    0.600 -0.849  3.6422  4.586    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-14      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.893 7.081 7.727 6.302
0.004 -0.58336 7.64001 0.6002102494 2.3212637528    0.600 -0.848  3.6424  4.586    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-14      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.891 7.078 7.723 6.300
0.004 -0.58336 7.64001 0.6205209494 2.3345025826    0.620 -0.762  3.6617  4.591    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-14      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.674 6.784 7.351 6.064
0.004 -0.58336 7.64001 0.6499999166 2.3520352771    0.650 -0.644  3.6892  4.604    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-14      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.381 6.403 6.882 5.754
0.004 -0.58336 7.64001 0.6625283957 2.3589455811    0.663 -0.598  3.7000  4.609    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.400e-01 2.560e-01 7.192e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.265 6.260 6.711 5.636
0.004 -0.58336 7.64001 0.6768305302 2.3664756538    0.677 -0.548  3.7119  4.616    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-14      0.00 7.400e-01 2.560e-01 7.191e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.140 6.110 6.533 5.514
0.004 -0.58336 7.64001 0.6998228431 2.3778424495    0.700 -0.501  3.7241  4.632    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-14      0.00 7.400e-01 2.560e-01 7.191e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 6.022 5.971 6.366 5.401
0.004 -0.58336 7.64001 0.6999999881 2.3779266974    0.700 -0.502  3.7239  4.632    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-14      0.00 7.400e-01 2.560e-01 7.191e-04 1.940e-04 1.759e-03 -1.000 4.000e-03 6.024 5.974 6.369 5.403
0.004 -0.58336 7.64001 0.7067524791 2.3811019239    0.707 -0.491  3.7275  4.640    0  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-14      0.00 7.400e-01 2.560e-01 7.178e-04 1.940e-04 1.759e-03 -1.000 4.000e-03 5.997 5.942 6.329 5.379
0.004 -0.58336 7.64001 0.7250632644 2.3893709646    0.725 -0.479  3.7329  4.661    0  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-14      0.00 7.400e-01 2.560e-01 7.142e-04 1.939e-04 1.760e-03 -1.000 4.000e-03 5.968 5.905 6.281 5.353
0.004 -0.58336 7.64001 0.7433378100 2.3971582771    0.743 -0.467  3.7366  4.675    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-14      0.00 7.400e-01 2.560e-01 7.107e-04 1.937e-04 1.760e-03 -1.000 4.000e-03 5.938 5.870 6.239 5.326
