Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.0075 -0.30462 7.49000 0.0900000036 1.0816895926    0.090 -2.343  3.4345  4.425    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 10.627 12.261 14.651 10.866
0.0075 -0.30462 7.49000 0.0974436775 1.1493906687    0.097 -2.290  3.4406  4.431    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 10.495 12.060 14.354 10.682
0.0075 -0.30462 7.49000 0.0998300463 1.1696851497    0.100 -2.274  3.4425  4.433    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 10.454 11.998 14.263 10.625
0.0075 -0.30462 7.49000 0.1124937460 1.2677316785    0.112 -2.195  3.4513  4.441    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 10.258 11.705 13.837 10.358
0.0075 -0.30462 7.49000 0.1194901466 1.3159458992    0.119 -2.155  3.4559  4.446    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 10.159 11.555 13.616 10.224
0.0075 -0.30462 7.49000 0.1391502321 1.4338510389    0.139 -2.055  3.4666  4.455    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 9.909 11.194 13.098 9.896
0.0075 -0.30462 7.49000 0.1588103175 1.5318726544    0.159 -1.970  3.4754  4.462    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.01e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 9.694 10.893 12.679 9.623
0.0075 -0.30462 7.49000 0.2216711491 1.7626155018    0.221 -1.756  3.4964  4.477    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 9.160 10.165 11.698 8.964
0.0075 -0.30462 7.49000 0.2388832867 1.8112641468    0.239 -1.708  3.5009  4.480    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 9.041 10.010 11.498 8.823
0.0075 -0.30462 7.49000 0.2566398084 1.8568942674    0.256 -1.662  3.5053  4.482    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.13e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.925 9.861 11.307 8.687
0.0075 -0.30462 7.49000 0.2700518668 1.8887223994    0.270 -1.630  3.5085  4.484    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.28e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.844 9.755 11.171 8.591
0.0075 -0.30462 7.49000 0.2722969651 1.8938495430    0.272 -1.624  3.5090  4.485    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.831 9.738 11.150 8.576
0.0075 -0.30462 7.49000 0.2955080569 1.9438296554    0.295 -1.572  3.5142  4.488    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.58e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.700 9.569 10.935 8.423
0.0075 -0.30462 7.49000 0.2964309752 1.9457107145    0.296 -1.570  3.5144  4.489    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.695 9.563 10.927 8.417
0.0075 -0.30462 7.49000 0.3381477594 2.0235529952    0.338 -1.486  3.5226  4.495    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.485 9.294 10.589 8.174
0.0075 -0.30462 7.49000 0.3455812335 2.0361152310    0.345 -1.473  3.5240  4.497    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.11e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.452 9.252 10.536 8.135
0.0075 -0.30462 7.49000 0.3947314620 2.1111807335    0.394 -1.385  3.5323  4.500    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.7e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.232 8.978 10.201 7.886
0.0075 -0.30462 7.49000 0.4314778745 2.1597794767    0.431 -1.323  3.5384  4.501    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.18e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.077 8.785 9.964 7.710
0.0075 -0.30462 7.49000 0.4438816309 2.1749833073    0.443 -1.303  3.5403  4.501    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.34e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 8.027 8.723 9.889 7.654
0.0075 -0.30462 7.49000 0.4930318892 2.2302052303    0.493 -1.224  3.5490  4.502    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.07e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.829 8.473 9.583 7.429
0.0075 -0.30462 7.49000 0.5365481377 2.2721990957    0.536 -1.149  3.5578  4.499    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.95e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.641 8.233 9.288 7.215
0.0075 -0.30462 7.49000 0.5421820879 2.2770780545    0.542 -1.137  3.5590  4.497    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.1e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.614 8.198 9.245 7.183
0.0075 -0.30462 7.49000 0.5853973627 2.3109394693    0.585 -1.053  3.5708  4.493    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.33e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.403 7.920 8.898 6.940
0.0075 -0.30462 7.49000 0.5913323760 2.3151474903    0.591 -1.042  3.5724  4.493    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.5e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.375 7.883 8.853 6.908
0.0075 -0.30462 7.49000 0.5947646499 2.3175369997    0.594 -1.036  3.5735  4.494    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.59e-15      0.00 7.302e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.359 7.861 8.826 6.889
0.0075 -0.30462 7.49000 0.6250026226 2.3372908635    0.625 -0.967  3.5843  4.490    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.81e-15      0.00 7.303e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.188 7.636 8.548 6.693
0.0075 -0.30462 7.49000 0.6321519613 2.3416448631    0.632 -0.948  3.5874  4.488    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.303e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.139 7.572 8.469 6.638
0.0075 -0.30462 7.49000 0.6404825449 2.3465775003    0.640 -0.925  3.5912  4.486    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.303e-01 2.622e-01 1.358e-03 3.663e-04 3.323e-03 -1.000 7.551e-03 7.082 7.497 8.376 6.573
