Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.006 -0.40400 7.05001 0.0900000036 1.0816895926    0.090 -2.023  3.4373  4.116    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.52e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.828 11.376 13.653 10.002
0.006 -0.40400 7.05001 0.0910857916 1.0920101191    0.091 -2.016  3.4382  4.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.810 11.348 13.612 9.977
0.006 -0.40400 7.05001 0.0992424265 1.1647467926    0.099 -1.963  3.4447  4.128    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.8e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.677 11.148 13.319 9.795
0.006 -0.40400 7.05001 0.1177272722 1.3041497160    0.117 -1.860  3.4565  4.146    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.34e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.419 10.767 12.766 9.448
0.006 -0.40400 7.05001 0.1407960802 1.4427307492    0.140 -1.748  3.4682  4.159    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.141 10.375 12.216 9.092
0.006 -0.40400 7.05001 0.1529142410 1.5042072543    0.153 -1.697  3.4735  4.164    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.41e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.012 10.198 11.974 8.930
0.006 -0.40400 7.05001 0.1620014608 1.5462951710    0.162 -1.660  3.4771  4.167    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.68e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.920 10.074 11.806 8.817
0.006 -0.40400 7.05001 0.1671880633 1.5689653846    0.167 -1.640  3.4790  4.168    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.870 10.006 11.714 8.755
0.006 -0.40400 7.05001 0.1728912443 1.5928612348    0.172 -1.618  3.4811  4.169    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.07e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.815 9.932 11.615 8.688
0.006 -0.40400 7.05001 0.1880340725 1.6516297129    0.187 -1.565  3.4866  4.173    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.56e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.681 9.752 11.373 8.525
